timestamp,event type,value,duration of event,
10:10:01.756,Viewed glossary popup:,Electron-Transport-Chain,34.708,
10:10:36.464,Open glossary page:,Electron-Transport-Chain,18.48,
10:10:54.944,Asked question (SQ link):,What are the differences between a electron transport chain and a photosystem?,3.469,
10:10:58.413,Answered question:,What are the differences between a electron transport chain and a photosystem?,0.046,
10:10:58.459,Open answer page:,What-are-the-differences-between-a-electron-transport-chain-and-a-photosystem-,13.165,
10:11:11.624,Open glossary page:,Electron-Transport-Chain,6.52,
10:11:18.144,Open image/cmap:,Electron-Transport-Chain_RelationGraph,17.113,
10:11:35.257,Closed image/cmap.,,17.013,
10:11:52.270,Opened question/answer panel,,45.227,
10:12:37.497,Open page:,chapter9-3,3.695,
10:12:41.192,Open page:,chapter9-1,120.281,
10:14:41.473,App stopped.,,21.589,
10:15:03.062,Logging started.,,5.399,
10:15:08.461,Opened question/answer panel,,7.257,
10:15:15.718,Asked question:,In a cyclic electron flow what substances are required for redox reaction?,3.42,
10:15:19.138,Answered question:,In a cyclic electron flow what substances are required for redox reaction?,0.049,
10:15:19.187,Open answer page:,In-a-cyclic-electron-flow-what-substances-are-required-for-redox-reaction-,13.763,
10:15:32.950,Asked question (SQ link):,What is the relationship between a cyclic electron flow and a cytochrome complex?,3.447,
10:15:36.397,Answered question:,What is the relationship between a cyclic electron flow and a cytochrome complex?,0.048,
10:15:36.445,Open answer page:,What-is-the-relationship-between-a-cyclic-electron-flow-and-a-cytochrome-complex-,51.442,
10:16:27.887,Open page:,chapter9-2,1.792,
10:16:29.679,Open page:,chapter9-2,42.924,
10:17:12.603,Created highlight:,Initially the glycolysis reactions convert the six-carbon glucose molecule to two three-carbon pyruvate molecules,0.289,
10:17:12.892,Viewed note card for:,Initially the glycolysis reactions convert the six-carbon glucose molecule to two three-carbon pyruvate molecules,0.016,
10:17:12.908,Viewed suggested questions (blue card) for:,Initially the glycolysis reactions convert the six-carbon glucose molecule to two three-carbon pyruvate molecules,9.18,
10:17:22.088,Closed suggested questions (blue) card.,,0.0,
10:17:22.088,Viewed note card for:,Initially the glycolysis reactions convert the six-carbon glucose molecule to two three-carbon pyruvate molecules,0.487,
10:17:22.575,Viewed suggested questions (blue card) for:,Initially the glycolysis reactions convert the six-carbon glucose molecule to two three-carbon pyruvate molecules,144.517,
10:19:47.092,Closed suggested questions (blue) card.,,153.404,
10:22:20.496,App stopped.,,333.058,
10:27:53.554,Logging started.,,12.556,
10:28:06.110,Open page:,chapter9-1,120.276,
10:30:06.386,App stopped.,,131.547,
10:32:17.933,Logging started.,,280.197,
10:36:58.130,Open page:,chapter9-1,45.89,
10:37:44.020,Viewed glossary popup:,Covalent-Bond,14.976,
10:37:58.996,Created highlight:,Energy is stored in the covalent bonds of fuels and it can be released and transformed,0.178,
10:37:59.174,Viewed note card for:,Energy is stored in the covalent bonds of fuels and it can be released and transformed,0.012,
10:37:59.186,Viewed suggested questions (blue card) for:,Energy is stored in the covalent bonds of fuels and it can be released and transformed,11.23,
10:38:10.416,Asked question (blue SQ card):,In the absence of oxygen yeast cells can obtain energy by which process?,3.442,
10:38:13.858,Answered question:,In the absence of oxygen yeast cells can obtain energy by which process?,0.044,
10:38:13.902,Open answer page:,In-the-absence-of-oxygen-yeast-cells-can-obtain-energy-by-which-process-,25.059,
10:38:38.961,Open page:,chapter9-1,12.449,
10:38:51.410,Viewed glossary popup:,Molecule,3.237,
10:38:54.647,Viewed glossary popup:,Cell,3.267,
10:38:57.914,Viewed glossary popup:,Organism,0.966,
10:38:58.880,Viewed glossary popup:,Chemical-Energy,4.128,
10:39:03.008,Viewed glossary popup:,Chemical-Energy,8.652,
10:39:11.660,Viewed glossary popup:,Endergonic-Reaction,12.807,
10:39:24.467,Viewed glossary popup:,ATP,74.702,
10:40:39.169,Created highlight:,endergonic reactions,0.042,
10:40:39.211,Viewed note card for:,endergonic reactions,0.003,
10:40:39.214,Viewed suggested questions (blue card) for:,endergonic reactions,4.251,
10:40:43.465,Asked question (blue SQ card):,What are the differences between anabolism and endergonic reaction?,3.402,
10:40:46.867,Answered question:,What are the differences between anabolism and endergonic reaction?,0.05,
10:40:46.917,Open answer page:,What-are-the-differences-between-anabolism-and-endergonic-reaction-,32.823,
10:41:19.740,Open page:,chapter9-1,5.554,
10:41:25.294,Viewed glossary popup:,Photoautotroph,18.476,
10:41:43.770,Viewed glossary popup:,Endergonic-Reaction,3.858,
10:41:47.628,Open glossary page:,Endergonic-Reaction,8.717,
10:41:56.345,Open page:,chapter9-1,27.669,
10:42:24.014,Created highlight:, In nonphotosynthetic cells the most common chemical fuel is the monosaccharide glucose.,0.042,
10:42:24.056,Viewed note card for:, In nonphotosynthetic cells the most common chemical fuel is the monosaccharide glucose.,0.003,
10:42:24.059,Viewed suggested questions (blue card) for:, In nonphotosynthetic cells the most common chemical fuel is the monosaccharide glucose.,0.663,
10:42:24.722,Closed suggested questions (blue) card.,,18.594,
10:42:43.316,Created highlight:,However to release their energy they must be converted into glucose or intermediate compounds that can enter into the various pathways of glucose metabolism.,0.047,
10:42:43.363,Viewed note card for:,However to release their energy they must be converted into glucose or intermediate compounds that can enter into the various pathways of glucose metabolism.,0.002,
10:42:43.365,Viewed suggested questions (blue card) for:,However to release their energy they must be converted into glucose or intermediate compounds that can enter into the various pathways of glucose metabolism.,0.816,
10:42:44.181,Closed suggested questions (blue) card.,,6.616,
10:42:50.797,Viewed glossary popup:,Metabolic-Pathway,34.648,
10:43:25.445,Viewed glossary popup:,Electron,5.042,
10:43:30.487,Viewed glossary popup:,Redox-Reaction,38.976,
10:44:09.463,Opened question/answer panel,,1.938,
10:44:11.401,Open page:,chapter9-2,7.912,
10:44:19.313,Open glossary page:,Reduction,11.317,
10:44:30.630,Open page:,chapter9-1,92.989,
10:46:03.619,Open page:,chapter9-1,6.394,
10:46:10.013,Open page:,chapter9-2,5.24,
10:46:15.253,Open page:,chapter9-1,6.07,
10:46:21.323,Viewed glossary popup:,Glucose,14.066,
10:46:35.389,Viewed glossary popup:,Oxidation,20.868,
10:46:56.257,Created highlight:,As you read this chapter keep in mind five principles that govern metabolic pathways:,0.044,
10:46:56.301,Viewed note card for:,As you read this chapter keep in mind five principles that govern metabolic pathways:,0.003,
10:46:56.304,Viewed suggested questions (blue card) for:,As you read this chapter keep in mind five principles that govern metabolic pathways:,4.191,
10:47:00.495,Closed suggested questions (blue) card.,,14.329,
10:47:14.824,Created highlight:,A complex chemical transformation occurs in a series of separate reactions that form a metabolic pathway.,0.039,
10:47:14.863,Viewed note card for:,A complex chemical transformation occurs in a series of separate reactions that form a metabolic pathway.,0.003,
10:47:14.866,Viewed suggested questions (blue card) for:,A complex chemical transformation occurs in a series of separate reactions that form a metabolic pathway.,1.005,
10:47:15.871,Closed suggested questions (blue) card.,,4.589,
10:47:20.460,Created highlight:,Each reaction is catalyzed by a specific enzyme.,0.041,
10:47:20.501,Viewed note card for:,Each reaction is catalyzed by a specific enzyme.,0.002,
10:47:20.503,Viewed suggested questions (blue card) for:,Each reaction is catalyzed by a specific enzyme.,1.039,
10:47:21.542,Closed suggested questions (blue) card.,,0.049,
10:47:21.591,Viewed glossary popup:,Metabolic-Pathway,15.643,
10:47:37.234,Created highlight:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,0.037,
10:47:37.271,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,0.003,
10:47:37.274,Viewed suggested questions (blue card) for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,3.699,
10:47:40.973,Closed suggested questions (blue) card.,,1.453,
10:47:42.426,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,0.912,
10:47:43.338,Closed note card.,,4.039,
10:47:47.377,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,7.048,
10:47:54.425,App stopped.,,3.518,
10:47:57.943,Logging started.,,5.343,
10:48:03.286,Closed note card.,,3.017,
10:48:06.303,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,3.96,
10:48:10.263,App stopped.,,11.06,
10:48:21.323,Logging started.,,0.777,
10:48:22.100,Started editing note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,13.378,
10:48:35.478,Edited note card:,Uppdelat eller avdelat,0.038,
10:48:35.516,Closed note card.,,3.933,
10:48:39.449,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,1.154,
10:48:40.603,Closed note card.,,13.974,
10:48:54.577,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,2.697,
10:48:57.274,Viewed suggested questions (blue card) for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,0.692,
10:48:57.966,Closed suggested questions (blue) card.,,0.001,
10:48:57.967,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,8.556,
10:49:06.523,Closed note card.,,1.775,
10:49:08.298,App stopped.,,0.041,
10:49:08.339,App stopped.,,7.477,
10:49:15.816,Logging started.,,6.185,
10:49:22.001,Viewed glossary popup:,Organelle,4.382,
10:49:26.383,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,3.918,
10:49:30.301,Closed note card.,,5.869,
10:49:36.170,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,1.337,
10:49:37.507,Closed note card.,,0.044,
10:49:37.551,Viewed glossary popup:,Eukaryote,25.475,
10:50:03.026,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,2.009,
10:50:05.035,Started editing note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,3.746,
10:50:08.781,Edited note card:,Hghg,0.009,
10:50:08.790,Closed note card.,,0.839,
10:50:09.629,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,1.235,
10:50:10.864,Started editing note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,2.106,
10:50:12.970,Edited note card:,,0.004,
10:50:12.974,Closed note card.,,45.045,
10:50:58.019,Viewed note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,0.904,
10:50:58.923,Started editing note card for:,Many metabolic pathways are similar in all organisms from bacteria to humans. In eukaryotes many metabolic pathways are compartmentalized with certain reactions occurring inside specific organelles or even specific regions of an organelle.,16.865,
10:51:15.788,Edited note card:,Buggat under går inte att highlita,0.006,
10:51:15.794,Closed note card.,,117.446,
10:53:13.240,Created highlight:, As you saw in Key Concept 2.3 the familiar process of combustion (burning) is similar to the chemical processes that release energy in cells. If glucose is burned in a flame or is in a typical cell it reacts with oxygen gas (O2) forming carbon dioxide and water and releasing energy in the form of heat. The balanced equation for the complete reaction is C6H12O6 + 6 O2 → 6 CO2 + 6 H2O + free energy (ΔG = –686 kcal/mol) This is an oxidation–reduction reaction (more on this shortly) in which glucose loses electrons (becomes oxidized) and oxygen gains them (becomes reduced). The large standard free energy change (ΔG) is negative indicating that the overall conversion is highly exergonic and can drive the endergonic formation of a lot of ATP from ADP and phosphate:,0.034,
10:53:13.274,Viewed note card for:, As you saw in Key Concept 2.3 the familiar process of combustion (burning) is similar to the chemical processes that release energy in cells. If glucose is burned in a flame or is in a typical cell it reacts with oxygen gas (O2) forming carbon dioxide and water and releasing energy in the form of heat. The balanced equation for the complete reaction is C6H12O6 + 6 O2 → 6 CO2 + 6 H2O + free energy (ΔG = –686 kcal/mol) This is an oxidation–reduction reaction (more on this shortly) in which glucose loses electrons (becomes oxidized) and oxygen gains them (becomes reduced). The large standard free energy change (ΔG) is negative indicating that the overall conversion is highly exergonic and can drive the endergonic formation of a lot of ATP from ADP and phosphate:,0.017,
10:53:13.291,Viewed suggested questions (blue card) for:, As you saw in Key Concept 2.3 the familiar process of combustion (burning) is similar to the chemical processes that release energy in cells. If glucose is burned in a flame or is in a typical cell it reacts with oxygen gas (O2) forming carbon dioxide and water and releasing energy in the form of heat. The balanced equation for the complete reaction is C6H12O6 + 6 O2 → 6 CO2 + 6 H2O + free energy (ΔG = –686 kcal/mol) This is an oxidation–reduction reaction (more on this shortly) in which glucose loses electrons (becomes oxidized) and oxygen gains them (becomes reduced). The large standard free energy change (ΔG) is negative indicating that the overall conversion is highly exergonic and can drive the endergonic formation of a lot of ATP from ADP and phosphate:,5.401,
10:53:18.692,Closed suggested questions (blue) card.,,0.009,
10:53:18.701,Deleted highlight:, As you saw in Key Concept 2.3 the familiar process of combustion (burning) is similar to the chemical processes that release energy in cells. If glucose is burned in a flame or is in a typical cell it reacts with oxygen gas (O2) forming carbon dioxide and water and releasing energy in the form of heat. The balanced equation for the complete reaction is C6H12O6 + 6 O2 → 6 CO2 + 6 H2O + free energy (ΔG = –686 kcal/mol) This is an oxidation–reduction reaction (more on this shortly) in which glucose loses electrons (becomes oxidized) and oxygen gains them (becomes reduced). The large standard free energy change (ΔG) is negative indicating that the overall conversion is highly exergonic and can drive the endergonic formation of a lot of ATP from ADP and phosphate:,6.279,
10:53:24.980,Created highlight:,glucose is burned in a flame or is in a typical cell it reacts with oxygen gas (O2) forming carbon dioxide and water and releasing energy in the,0.042,
10:53:25.022,Viewed note card for:,glucose is burned in a flame or is in a typical cell it reacts with oxygen gas (O2) forming carbon dioxide and water and releasing energy in the,0.004,
10:53:25.026,Viewed suggested questions (blue card) for:,glucose is burned in a flame or is in a typical cell it reacts with oxygen gas (O2) forming carbon dioxide and water and releasing energy in the,1.325,
10:53:26.351,Closed suggested questions (blue) card.,,5.404,
10:53:31.755,Created highlight:,form of heat. The balanced equation for the complete reaction is,0.039,
10:53:31.794,Viewed note card for:,form of heat. The balanced equation for the complete reaction is,0.003,
10:53:31.797,Viewed suggested questions (blue card) for:,form of heat. The balanced equation for the complete reaction is,0.623,
10:53:32.420,Closed suggested questions (blue) card.,,44.289,
10:54:16.709,Created highlight:,This is an oxidation–reduction reaction (more on this shortly) in which glucose loses electrons (becomes oxidized) and oxygen gains them (becomes reduced). ,0.026,
10:54:16.735,Viewed note card for:,This is an oxidation–reduction reaction (more on this shortly) in which glucose loses electrons (becomes oxidized) and oxygen gains them (becomes reduced). ,0.002,
10:54:16.737,Viewed suggested questions (blue card) for:,This is an oxidation–reduction reaction (more on this shortly) in which glucose loses electrons (becomes oxidized) and oxygen gains them (becomes reduced). ,0.311,
10:54:17.048,Logging started.,,0.628,
10:54:17.676,Closed suggested questions (blue) card.,,25.284,
10:54:42.960,Viewed glossary popup:,Catabolism,28.192,
10:55:11.152,Created highlight:,Three ,0.03,
10:55:11.182,Viewed note card for:,Three ,0.003,
10:55:11.185,Viewed suggested questions (blue card) for:,Three ,4.736,
10:55:15.921,Closed suggested questions (blue) card.,,0.006,
10:55:15.927,Deleted highlight:,Three ,38.162,
10:55:54.089,Created highlight:,Three catabolic processes harvest the energy in the chemical bonds of glucose: glycolysis cellular respiration and fermentation (Figure 9.1). All three processes involve pathways made up of many distinct chemical reactions.,0.036,
10:55:54.125,Viewed note card for:,Three catabolic processes harvest the energy in the chemical bonds of glucose: glycolysis cellular respiration and fermentation (Figure 9.1). All three processes involve pathways made up of many distinct chemical reactions.,0.002,
10:55:54.127,Viewed suggested questions (blue card) for:,Three catabolic processes harvest the energy in the chemical bonds of glucose: glycolysis cellular respiration and fermentation (Figure 9.1). All three processes involve pathways made up of many distinct chemical reactions.,0.756,
10:55:54.883,Closed suggested questions (blue) card.,,5.334,
10:56:00.217,Viewed glossary popup:,Catabolism,34.953,
10:56:35.170,Viewed note card for:,Three catabolic processes harvest the energy in the chemical bonds of glucose: glycolysis cellular respiration and fermentation (Figure 9.1). All three processes involve pathways made up of many distinct chemical reactions.,1.176,
10:56:36.346,Started editing note card for:,Three catabolic processes harvest the energy in the chemical bonds of glucose: glycolysis cellular respiration and fermentation (Figure 9.1). All three processes involve pathways made up of many distinct chemical reactions.,42.966,
10:57:19.312,Edited note card:,Tre olika katabola reaktioner nyttjar de kemiska bindningarna mellan glukoset,0.007,
10:57:19.319,Closed note card.,,18.051,
10:57:37.370,Viewed note card for:,Three catabolic processes harvest the energy in the chemical bonds of glucose: glycolysis cellular respiration and fermentation (Figure 9.1). All three processes involve pathways made up of many distinct chemical reactions.,1.025,
10:57:38.395,Closed note card.,,1.883,
10:57:40.278,Viewed note card for:,Three catabolic processes harvest the energy in the chemical bonds of glucose: glycolysis cellular respiration and fermentation (Figure 9.1). All three processes involve pathways made up of many distinct chemical reactions.,0.817,
10:57:41.095,Closed note card.,,8.786,
10:57:49.881,Created highlight:,Glycolysis begins glucose catabolism,0.037,
10:57:49.918,Viewed note card for:,Glycolysis begins glucose catabolism,0.003,
10:57:49.921,Viewed suggested questions (blue card) for:,Glycolysis begins glucose catabolism,1.02,
10:57:50.941,Closed suggested questions (blue) card.,,1.016,
10:57:51.957,Viewed glossary popup:,Glycolysis,17.429,
10:58:09.386,Created highlight:,glucose is converted to two molecules of the three-carbon product pyruvate and a small amount of energy is captured in usable forms.,0.035,
10:58:09.421,Viewed note card for:,glucose is converted to two molecules of the three-carbon product pyruvate and a small amount of energy is captured in usable forms.,0.003,
10:58:09.424,Viewed suggested questions (blue card) for:,glucose is converted to two molecules of the three-carbon product pyruvate and a small amount of energy is captured in usable forms.,0.745,
10:58:10.169,Closed suggested questions (blue) card.,,17.489,
10:58:27.658,Created highlight:,anaerobic,0.038,
10:58:27.696,Viewed note card for:,anaerobic,0.003,
10:58:27.699,Viewed suggested questions (blue card) for:,anaerobic,0.746,
10:58:28.445,Closed suggested questions (blue) card.,,7.121,
10:58:35.566,Created highlight:,not require O2.,0.045,
10:58:35.611,Viewed note card for:,not require O2.,0.003,
10:58:35.614,Viewed suggested questions (blue card) for:,not require O2.,0.346,
10:58:35.960,Closed suggested questions (blue) card.,,42.442,
10:59:18.402,Created highlight:,Cellular respiration uses O2 from the environment and thus is aerobic.,0.037,
10:59:18.439,Viewed note card for:,Cellular respiration uses O2 from the environment and thus is aerobic.,0.002,
10:59:18.441,Viewed suggested questions (blue card) for:,Cellular respiration uses O2 from the environment and thus is aerobic.,7.298,
10:59:25.739,Closed suggested questions (blue) card.,,57.105,
11:00:22.844,Created highlight:,Each pyruvate molecule is completely converted into three molecules of CO2 through a set of catabolic pathways including pyruvate oxidation the citric acid cycle and an electron transport system (the respiratory chain),0.041,
11:00:22.885,Viewed note card for:,Each pyruvate molecule is completely converted into three molecules of CO2 through a set of catabolic pathways including pyruvate oxidation the citric acid cycle and an electron transport system (the respiratory chain),0.004,
11:00:22.889,Viewed suggested questions (blue card) for:,Each pyruvate molecule is completely converted into three molecules of CO2 through a set of catabolic pathways including pyruvate oxidation the citric acid cycle and an electron transport system (the respiratory chain),0.735,
11:00:23.624,Closed suggested questions (blue) card.,,9.029,
11:00:32.653,Created highlight:,energy stored in the covalent bonds of pyruvate is captured to form,0.04,
11:00:32.693,Viewed note card for:,energy stored in the covalent bonds of pyruvate is captured to form,0.003,
11:00:32.696,Viewed suggested questions (blue card) for:,energy stored in the covalent bonds of pyruvate is captured to form,0.571,
11:00:33.267,Closed suggested questions (blue) card.,,8.99,
11:00:42.257,Created highlight:,Fermentation does not involve O2 (it is anaerobic),0.037,
11:00:42.294,Viewed note card for:,Fermentation does not involve O2 (it is anaerobic),0.003,
11:00:42.297,Viewed suggested questions (blue card) for:,Fermentation does not involve O2 (it is anaerobic),0.447,
11:00:42.744,Closed suggested questions (blue) card.,,0.034,
11:00:42.778,Viewed glossary popup:,Fermentation,8.046,
11:00:50.824,Open glossary page:,Fermentation,41.708,
11:01:32.532,Open page:,chapter9-1,12.205,
11:01:44.737,Created highlight:,fermentation converts pyruvate into lactic acid or ethyl alcohol (ethanol) both of which are still relatively energy-rich molecules,0.037,
11:01:44.774,Viewed note card for:,fermentation converts pyruvate into lactic acid or ethyl alcohol (ethanol) both of which are still relatively energy-rich molecules,0.003,
11:01:44.777,Viewed suggested questions (blue card) for:,fermentation converts pyruvate into lactic acid or ethyl alcohol (ethanol) both of which are still relatively energy-rich molecules,0.416,
11:01:45.193,Closed suggested questions (blue) card.,,9.114,
11:01:54.307,Created highlight:,much less energy is released when glycolysis is coupled to fermentation than when it is coupled to cellular respiration.,0.043,
11:01:54.350,Viewed note card for:,much less energy is released when glycolysis is coupled to fermentation than when it is coupled to cellular respiration.,0.003,
11:01:54.353,Viewed suggested questions (blue card) for:,much less energy is released when glycolysis is coupled to fermentation than when it is coupled to cellular respiration.,0.516,
